FID_webmap,SimpleRegion,report_url
28,TularosaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/582/OFR-582_ETB_brackishLR.pdf
21,TularosaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/559/OFR559_White_Sands.pdf
23,TularosaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/561/OFR_561_LR.pdf
23,TularosaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/562/OFR-562.pdf
